,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm,scoring,id,segmento,lead_category
0,Landing Page Submission,Google,No,No,1,5,57,2.5,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.5488368357331647,598572,4,Cold
1,API,Chat,No,No,0,0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.1264941648983334,611369,1,Cold
2,Landing Page Submission,Google,No,No,0,6,422,6.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No,0.2066177913905234,639460,3,Cold
3,API,Chat,No,No,0,0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,17.0,15.0,No,0.244469046905389,658470,5,Cold
4,Landing Page Submission,Organic Search,No,No,0,7,945,3.5,Email Opened,OTROS,Unemployed,No,No,No,No,No,No,14.0,13.0,Yes,0.22210963510568177,633876,2,Cold
5,Landing Page Submission,Google,No,No,1,5,1388,5.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,15.0,18.0,No,0.9312352707154619,587135,0,Hot
6,API,Google,No,No,0,5,51,2.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.07438066635363715,653232,1,Cold
7,API,Google,No,No,0,1,150,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.03275360282085149,594179,5,Cold
8,API,Organic Search,No,No,1,7,68,7.0,Email Opened,Marketing Management,OTROS,No,No,No,No,No,No,14.0,16.0,No,0.5686443114722504,619524,1,Cold
9,API,Google,No,No,1,3,1319,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No,0.6609518364677041,645457,1,Medium
10,Landing Page Submission,Direct Traffic,No,No,0,12,494,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.15799604429089395,615031,2,Cold
11,Landing Page Submission,Direct Traffic,No,No,1,3,39,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes,0.1565346412231346,615704,0,Cold
12,OTROS,OTROS,No,No,0,3,93,2.4,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No,0.2600638475919793,647974,5,Cold
13,Landing Page Submission,Google,No,No,1,3,1141,3.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No,0.8232851931588097,593309,2,Hot
14,API,Chat,No,No,0,2,1067,1.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,11.0,15.0,Yes,0.19264718002585163,591108,1,Cold
15,Landing Page Submission,Google,No,No,0,3,234,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,16.0,No,0.27285674856446646,612658,3,Cold
16,Landing Page Submission,Organic Search,No,No,0,4,35,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes,0.01855524258249973,648243,2,Cold
17,Landing Page Submission,Direct Traffic,No,No,0,2,130,2.0,OTROS,Business Administration,Unemployed,No,No,No,No,No,No,12.0,18.0,Yes,0.029039720746829017,638022,3,Cold
18,Lead Add Form,Reference,No,No,1,0,0,0.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No,0.9857783122064517,633922,4,Hot
19,API,Chat,No,No,0,5,393,2.5,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,14.0,No,0.400404473884743,618387,1,Cold
20,API,Chat,No,No,0,0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,17.0,15.0,No,0.5377349720627532,592678,1,Cold
